5292; https://i.imgur.com/WxbhFbM.png; Sci-Fi;genre;ANIME
5293; https://i.imgur.com/UtQFAnn.png; Slice of life;genre;ANIME
5876;https://i.imgur.com/dfczj45.png; Sports;genre;ANIME
6630;https://i.imgur.com/Qeo8CHX.png; Supernatural;genre;ANIME
5556;https://i.imgur.com/u09xKxO.png; Thriller / Psychological;genre;ANIME
6395;https://imgur.com/tAwnxK8.png; Beginner;tier;MANGA
10665; https://i.imgur.com/BsteVCB.png; Intermediate;tier;MANGA
51476;https://i.imgur.com/2fUEA5i.png; Advanced;tier;MANGA
7196;https://i.imgur.com/xY0NVWt.png; School;manga-city;MANGA
7915;https://i.imgur.com/akK8LP4.png; Museum;manga-city;MANGA
8889; https://i.imgur.com/FeGOaoQ.png; Beach;manga-city;MANGA
9675;https://i.imgur.com/bnR2U6E.png; Cemetery;manga-city;MANGA
11261;https://i.imgur.com/Im03NzF.png; Airport;manga-city;MANGA
12658;https://i.imgur.com/Fpl7DiB.png; Casino;manga-city;MANGA
17325; https://i.imgur.com/HyIVexT.png; Office;manga-city;MANGA
19440;https://i.imgur.com/zi5b3lk.png; Amusement Park;manga-city;MANGA
26466;https://i.imgur.com/I6JQbdM.png; Garage;manga-city;MANGA
32949; https://i.imgur.com/buUAInK.png; Konbini;manga-city;MANGA
42357;https://i.imgur.com/aDE1mRY.png; Onsen;manga-city;MANGA
47135;https://i.imgur.com/aZKhF0Y.png; Military Base;manga-city;MANGA
49909;https://i.imgur.com/728IOrL.png; Hospital;manga-city;MANGA
52601;https://i.imgur.com/7Hl5MDS.png; Park;manga-city;MANGA
55870;https://imgur.com/GaEjAk4.png; Home;manga-city;MANGA
60670; https://i.imgur.com/smbzJkJ.png; Construction Site;manga-city;MANGA
9960;https://imgur.com/uDiN5Xp.png; Explorer's;special;MANGA
16045; https://i.imgur.com/uSqiqZU.png; Space Adventurer's;special;MANGA
23111;https://i.imgur.com/WYjN16H.png; Lottery;special;MANGA
38004;https://i.imgur.com/e0NecOT.png; Arts & Artists;special;MANGA
46422; https://i.imgur.com/GxgNKlN.png;Formula 1;special;MANGA
61414;https://i.imgur.com/XaZWme9.png; Light Novel;special;MANGA
63239;https://i.imgur.com/NVjRI8X.png; Retro;classic;ANIME
